"","Driver_Id","max_rides_to_city","Avg_dist","Total_dist"
"241",58566,"MCKINNEY",19.0705365853659,3909.46
"242",58412,"MERRICK",7.454696485623,2333.32
"243",58526,"NEW ORLEANS",30.64125,8824.68
"244",58431,"HEMPSTEAD",6.65134502923977,2274.76
"245",58549,"Queens",32.0508163265306,4711.47
"246",58617,"SAN JOSE",66.9187096774194,14521.36
"247",58731,"Boston",277.552777777778,9991.9
"248",58737,"OMAHA",91.6893947368421,34841.97
"249",58679,"ROSEVILLE",28.3037037037037,764.2
"250",58783,"Minneapolis",25.0888065843621,6096.58
"251",58845,"OMAHA",103.846063829787,19523.06
"252",58710,"SANTA ROSA",43.096,1077.4
"253",58682,"Knoxville",8.75,717.5
"254",58730,"MISSISSAUGA",5.28102272727273,929.46
"255",58785,"Minneapolis",77.2256770833333,14827.33
"256",58750,"tacoma",10.6493296089385,1906.23
"257",59057,"ALLEN",33.1894736842105,1891.8
"258",58854,"HARRISONBURG",22.8834969325153,7460.02
"259",58855,"HARRISONBURG",15.6532142857143,4382.9
"260",58974,"SAN FRANCISCO",12.4571428571429,174.4
"261",59063,"YOUNGSTOWN",105.5352,34298.94
"262",58970,"Houston",39.7654736842105,3777.72
"263",59077,"FLEMINGTON",11.1766666666667,3554.18
"264",58980,"VALENCIA",40.7966666666667,489.56
"265",58965,"PITTSBURGH",36.2,687.8
"266",59073,"Chicago",27.2279245283019,4329.24
"267",59130,"Memphis",231.608787878788,22929.27
"268",59036,"SEATTLE",38.1923076923077,496.5
"269",59056,"DALLAS",19.7734328358209,1324.82
"270",59094,"OAKLAND",17.2729074889868,3920.95
"271",59079,"Chicago",37.276049382716,3019.36
"272",59150,"MINNEAPOLIS",48.5491129032258,12040.18
"273",59093,"BARRIE",7.63020833333333,1098.75
"274",59122,"BIRMINGHAM",0,0
"275",59227,"MADISON",66.9415789473684,13990.79
"276",59178,"CHICAGO",61.4622692307692,15980.19
"277",59305,"NEW BEDFORD",548.342941176471,18643.66
"278",59309,"NASHVILLE",0,0
"279",59319,"ANN ARBOR",48.4596127562642,21273.77
"280",59320,"SOMERSET",36.5649315068493,2669.24
"281",59352,"BOSTON",133.074894514768,31538.75
"282",59228,"COMMACK",9.89108843537415,2907.98
