"","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_status","tenure(in_days)","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"57",1,100,1,1,1,245,18,56,114,153,683.183333333333,626.5,749.869473684211,747.506666666667,12297.3,35084,85485.12,114368.52,672.183333333333,592.422857142857,722.17701754386,722.716209150327,12099.3,33175.68,82328.18,110575.58,11,34.0771428571429,27.6924561403509,24.7904575163399,198,1908.32,3156.94,3792.94,4.44444444444444,4.875,4.84210526315789,4.69281045751634,80,273,552,718,1,0.857142857142857,0.875,0.882352941176471,3,0
"58",1,100,1,1,1,238,22,69,129,148,493.178181818182,602.691884057971,703.299224806202,736.414594594595,10849.92,41585.74,90725.6,108989.36,464.269090909091,563.738260869565,674.106976744186,709.745675675676,10213.92,38897.94,86959.8,105042.36,28.9090909090909,38.9536231884058,29.1922480620155,26.6689189189189,636,2687.8,3765.8,3947,4.86363636363636,5.46376811594203,4.75193798449612,4.64864864864865,107,377,613,688,0.75,0.904761904761905,0.896551724137931,0.90625,3,0
"59",1,100,1,1,1,245,26,75,81,86,983.538846153846,939.737866666667,890.238765432099,895.410930232558,25572.01,70480.34,72109.34,77005.34,935.564230769231,921.394666666667,873.254320987654,879.413953488372,24324.67,69104.6,70733.6,75629.6,47.9746153846154,18.3432,16.9844444444444,15.996976744186,1247.34,1375.74,1375.74,1375.74,8.92307692307692,8.86666666666667,8.49382716049383,8.66279069767442,232,665,688,745,0.666666666666667,0.892857142857143,0.896551724137931,0.823529411764706,3,0
"60",1,100,1,1,1,231,6,19,32,41,555.93,633.633684210526,402.805,333.473170731707,3335.58,12039.04,12889.76,13672.4,555.93,633.633684210526,402.805,333.473170731707,3335.58,12039.04,12889.76,13672.4,0,0,0,0,0,0,0,0,9.66666666666667,11.1578947368421,7.46875,6.31707317073171,58,212,239,259,0.5,0.5,0.5,0.5,3,0
"61",1,100,1,2,2,121,0,0,60,121,0,0,778.983333333333,882.954545454545,0,0,46739,106837.5,0,0,778.983333333333,882.954545454545,0,0,46739,106837.5,0,0,0,0,0,0,0,0,0,0,14.8833333333333,15.8760330578512,0,0,893,1921,0.5,0.5,0.491525423728814,0.411764705882353,4,1
"62",1,100,1,2,1,169,22,79,82,82,605.416363636364,707.593417721519,696.211585365854,696.211585365854,13319.16,55899.88,57089.35,57089.35,587.587272727273,701.990379746835,690.813536585366,690.813536585366,12926.92,55457.24,56646.71,56646.71,17.8290909090909,5.60303797468354,5.39804878048781,5.39804878048781,392.24,442.64,442.64,442.64,9.5,10.9367088607595,10.7439024390244,10.7439024390244,209,864,881,881,1,0.895522388059702,0.897058823529412,0.897058823529412,4,0
"63",1,100,1,2,1,245,17,64,102,142,567.882352941176,611.0625,581.078431372549,580.521126760563,9654,39108,59270,82434,567.882352941176,591.890625,568.676470588235,571.612676056338,9654,37881,58005,81169,0,19.171875,12.4019607843137,8.90845070422535,0,1227,1265,1265,15.7058823529412,17.9375,18.3235294117647,18.7535211267606,267,1148,1869,2663,0.5,0.5,0.5,0.5,3,0
"64",1,100,1,1,2,1,0,0,0,1,0,0,0,1149.76,0,0,0,1149.76,0,0,0,1149.76,0,0,0,1149.76,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0.5,0.5,0.5,0,2,1
"65",1,100,1,1,1,245,20,59,118,168,948.526,1043.80322033898,941.21686440678,916.557083333333,18970.52,61584.39,111063.59,153981.59,904.426,917.366271186441,849.181271186441,851.913035714286,18088.52,54124.61,100203.39,143121.39,44.1,126.436949152542,92.035593220339,64.6440476190476,882,7459.78,10860.2,10860.2,8.6,9.28813559322034,9.93220338983051,11.4464285714286,172,548,1172,1923,0.5,0.666666666666667,0.865384615384615,0.764705882352941,3,0
"66",1,0,2,2,1,245,30,88,175,233,0,0,0,0.103004291845494,0,0,0,24,0,0,0,0.103004291845494,0,0,0,24,0,0,0,0,0,0,0,0,4.8,5,4.77714285714286,4.62231759656652,144,440,836,1077,0.863636363636364,0.875,0.832167832167832,0.813829787234043,3,0
"67",1,0,2,2,2,89,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.57142857142857,0,0,68,120,0.5,0.5,0.375,0.428571428571429,1,1
"68",1,100,1,1,2,30,0,0,0,25,0,0,0,771.0512,0,0,0,19276.28,0,0,0,771.0512,0,0,0,19276.28,0,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,204,0.5,0.5,0.5,0.625,2,1
"69",1,0,2,1,2,203,0,8,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.875,7.90909090909091,6.59090909090909,0,71,87,145,0.5,1,1,1,3,0
"70",1,100,1,1,1,245,10,10,23,51,777.326,777.326,793.446086956522,810.220784313726,7773.26,7773.26,18249.26,41321.26,777.326,777.326,714.402608695652,758.809019607843,7773.26,7773.26,16431.26,38699.26,0,0,79.0434782608696,51.4117647058824,0,0,1818,2622,8.9,8.9,9.95652173913044,12.2352941176471,89,89,229,624,0.428571428571429,0.428571428571429,0.529411764705882,0.609756097560976,3,0
"71",1,100,1,2,1,130,0,0,6,44,0,0,594,636.227272727273,0,0,3564,27994,0,0,594,636.227272727273,0,0,3564,27994,0,0,0,0,0,0,0,0,0,0,13.6666666666667,14.8181818181818,0,0,82,652,0.5,0.5,0.5,0.5,4,0
