"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"4392",73020,"HOUSTON                       ","TX ",1,100,"COMMISSION","NULL",1,"107",73020,8,2018-01-31,6,6,6,6,468,468,468,468,2808,2808,2808,2808,468,468,468,468,2808,2808,2808,2808,0,0,0,0,0,0,0,0,11.6666666666667,11.6666666666667,11.6666666666667,11.6666666666667,70,70,70,70,0.4,0.4,0.4,0.4,"less than or equal to a month",FALSE
"4393",73022,"HOUSTON                       ","TX ",1,100,"COMMISSION","NULL",0,"236",73022,1,2018-01-21,1,1,1,1,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0,0,0,0,"less than or equal to a month",FALSE
"4394",73024,"WOOD CROSS                    ","UT ",1,100,"COMMISSION","NULL",1,"107",73024,25,2018-01-30,13,13,13,13,551.909230769231,551.909230769231,551.909230769231,551.909230769231,7174.82,7174.82,7174.82,7174.82,551.909230769231,551.909230769231,551.909230769231,551.909230769231,7174.82,7174.82,7174.82,7174.82,0,0,0,0,0,0,0,0,9,9,9,9,117,117,117,117,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4395",73026,"HOUSTON                       ","TX ",1,100,"COMMISSION","NULL",1,"107",73026,28,2018-01-31,21,21,21,21,606.857142857143,606.857142857143,606.857142857143,606.857142857143,12744,12744,12744,12744,606.857142857143,606.857142857143,606.857142857143,606.857142857143,12744,12744,12744,12744,0,0,0,0,0,0,0,0,12.4285714285714,12.4285714285714,12.4285714285714,12.4285714285714,261,261,261,261,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4397",73031,"WINCHESTER                    ","VA ",1,100,"COMMISSION","0",1,"107",73031,27,2018-01-31,19,19,19,19,767.263157894737,767.263157894737,767.263157894737,767.263157894737,14578,14578,14578,14578,767.263157894737,767.263157894737,767.263157894737,767.263157894737,14578,14578,14578,14578,0,0,0,0,0,0,0,0,12.7368421052632,12.7368421052632,12.7368421052632,12.7368421052632,242,242,242,242,0.736842105263158,0.736842105263158,0.736842105263158,0.736842105263158,"less than or equal to a month",FALSE
"4398",73032,"WINCHESTER                    ","VA ",1,100,"COMMISSION","0",0,"236",73032,5,2018-01-26,4,4,4,4,684.5,684.5,684.5,684.5,2738,2738,2738,2738,684.5,684.5,684.5,684.5,2738,2738,2738,2738,0,0,0,0,0,0,0,0,13.75,13.75,13.75,13.75,55,55,55,55,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4399",73033,"MARTINSBURG                   ","WV ",1,100,"COMMISSION","NULL",1,"107",73033,28,2018-01-30,23,23,23,23,614.521739130435,614.521739130435,614.521739130435,614.521739130435,14134,14134,14134,14134,614.521739130435,614.521739130435,614.521739130435,614.521739130435,14134,14134,14134,14134,0,0,0,0,0,0,0,0,10.695652173913,10.695652173913,10.695652173913,10.695652173913,246,246,246,246,0.590909090909091,0.590909090909091,0.590909090909091,0.590909090909091,"less than or equal to a month",FALSE
"4400",73038,"SPENCER                       ","MA ",1,100,"COMMISSION","0",1,"107",73038,4,2018-01-18,3,3,3,3,434,434,434,434,1302,1302,1302,1302,434,434,434,434,1302,1302,1302,1302,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4401",73042,"MIAMI                         ","FL ",1,100,"COMMISSION","NULL",1,"107",73042,13,2018-01-29,2,2,2,2,848.44,848.44,848.44,848.44,1696.88,1696.88,1696.88,1696.88,740.84,740.84,740.84,740.84,1481.68,1481.68,1481.68,1481.68,107.6,107.6,107.6,107.6,215.2,215.2,215.2,215.2,22,22,22,22,44,44,44,44,0,0,0,0,"less than or equal to a month",FALSE
"4402",73047,"MIDDLE VILLAGE                ","NY ",1,100,"COMMISSION","NULL",0,"236",73047,26,2018-01-29,12,12,12,12,785.386666666667,785.386666666667,785.386666666667,785.386666666667,9424.64,9424.64,9424.64,9424.64,785.386666666667,785.386666666667,785.386666666667,785.386666666667,9424.64,9424.64,9424.64,9424.64,0,0,0,0,0,0,0,0,16,16,16,16,192,192,192,192,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,"less than or equal to a month",FALSE
