"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","tenure.in_days.","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month.","average_total_payment_3_month.","average_total_payment_6_month.","average_total_payment_1_year.","sum_total_payment_1_month.","sum_total_payment_3_month.","sum_total_payment_6_month.","sum_total_payment_1_year.","average_standard_payment_1_month.","average_standard_payment_3_month.","average_standard_payment_6_month.","average_standard_payment_1_year.","sum_standard_payment_1_month.","sum_standard_payment_3_month.","sum_standard_payment_6_month.","sum_standard_payment_1_year.","average_non_standard_payment_1_month.","average_non_standard_payment_3_month.","average_non_standard_payment_6_month.","average_non_standard_payment_1_year.","sum_non_standard_payment_1_month.","sum_non_standard_payment_3_month.","sum_non_standard_payment_6_month.","sum_non_standard_payment_1_year.","average_jobs_1_month.","average_jobs_3_month.","average_jobs_6_month.","average_jobs_1_year.","total_jobs_1_month.","total_jobs_3_month.","total_jobs_6_month.","total_jobs_1_year.","average_satisfaction_1_month.","average_satisfaction_3_month.","average_satisfaction_6_month.","average_satisfaction_1_year.","Tenure.in_categories.","churn_status"
"77",57872,"MERIDEN","CT",1,100,"COMMISSION","Not Specified",0,"236",350,2018-05-16,10,54,98,262,834.568,1002.31222222222,982.046734693878,1050.68755725191,8345.68,54124.86,96240.58,275280.14,834.568,1002.31222222222,982.046734693878,1050.68755725191,8345.68,54124.86,96240.58,275280.14,0,0,0,0,0,0,0,0,15.4,15.4814814814815,15.5204081632653,17.087786259542,154,836,1521,4477,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"78",57891,"MERIDEN","CT",1,100,"COMMISSION","Not Specified",0,"236",353,2018-05-19,15,56,101,271,864.654666666667,965.416785714286,951.526138613861,994.876900369004,12969.82,54063.34,96104.14,269611.64,864.654666666667,965.416785714286,951.526138613861,994.876900369004,12969.82,54063.34,96104.14,269611.64,0,0,0,0,0,0,0,0,13.1333333333333,14.7321428571429,14.9207920792079,15.9040590405904,197,825,1507,4310,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"79",58027,"VANCOUVER","WA",1,100,"COMMISSION","0",0,"236",347,2018-05-13,7,52,93,276,1508.83428571429,1516.01538461538,1464.63698924731,1383.73971014493,10561.84,78832.8,136211.24,381912.16,1508.83428571429,1516.01538461538,1461.25204301075,1351.76007246377,10561.84,78832.8,135896.44,373085.78,0,0,3.38494623655914,31.9796376811594,0,0,314.8,8826.38,8.71428571428571,8.09615384615385,7.64516129032258,8.91304347826087,61,421,711,2460,0.857142857142857,0.804347826086957,0.808219178082192,0.805825242718447,"more than 6 month",FALSE
"80",58056,"FREMONT","CA",1,100,"COMMISSION","Not Specified",1,"107",6,2018-02-10,0,0,3,3,0,0,511.663333333333,511.663333333333,0,0,1534.99,1534.99,0,0,511.663333333333,511.663333333333,0,0,1534.99,1534.99,0,0,0,0,0,0,0,0,0,0,14,14,0,0,42,42,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"81",58125,"JERSEY CITY","NJ",1,100,"COMMISSION","Not Specified",0,"236",297,2018-03-24,0,12,57,242,0,968.916666666667,892.815789473684,957.382231404959,0,11627,50890.5,231686.5,0,968.916666666667,892.815789473684,957.382231404959,0,11627,50890.5,231686.5,0,0,0,0,0,0,0,0,0,17.5,14.8771929824561,15.7520661157025,0,210,848,3812,0.5,0.666666666666667,0.642857142857143,0.539748953974895,"more than 6 month",FALSE
"82",58273,"LONDON","ON",1,0,"DAILY","0",0,"236",345,2018-05-11,11,69,126,333,0,5.39130434782609,3.65079365079365,5.36936936936937,0,372,460,1788,0,5.39130434782609,3.65079365079365,5.36936936936937,0,372,460,1788,0,0,0,0,0,0,0,0,8.54545454545454,7.55072463768116,7.55555555555556,6.83783783783784,94,521,952,2277,0.909090909090909,0.805970149253731,0.801652892561983,0.745980707395498,"more than 6 month",FALSE
"83",58283,"BRONX<U+00A0>","NY",1,100,"COMMISSION","0",1,"107",1,2017-11-20,0,0,0,1,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"84",58284,"BROOKLYN<U+00A0>","NY",1,100,"COMMISSION","Not Specified",1,"107",1,2017-12-05,0,0,0,1,0,0,0,885.7,0,0,0,885.7,0,0,0,885.7,0,0,0,885.7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"85",58449,"NEW YORK","NY",1,100,"COMMISSION","Not Specified",1,"107",166,2017-12-05,0,0,0,6,0,0,0,453.71,0,0,0,2722.26,0,0,0,453.71,0,0,0,2722.26,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,42,0.5,0.5,0.5,0.2,"less than or equal to 6 month",TRUE
"86",58581,"HAMMOND","IN",1,100,"COMMISSION","0",1,"107",164,2017-11-11,0,0,0,148,0,0,0,690.35527027027,0,0,0,102172.58,0,0,0,689.793918918919,0,0,0,102089.5,0,0,0,0.561351351351351,0,0,0,83.08,0,0,0,12.0675675675676,0,0,0,1786,0.5,0.5,0.5,0.605633802816901,"less than or equal to 6 month",TRUE
